11292,13487,"Denver, CO","Minneapolis, MN",680,6460,375,R375
11292,14492,"Denver, CO","Raleigh/Durham, NC",1436,6460,376,R376
11292,14683,"Denver, CO","San Antonio, TX",794,6460,377,R377
13485,11292,"Madison, WI","Denver, CO",826,6460,378,R378
14492,11292,"Raleigh/Durham, NC","Denver, CO",1436,6460,379,R379
14683,11292,"San Antonio, TX","Denver, CO",794,6460,380,R380
11292,10620,"Denver, CO","Billings, MT",455,6200,381,R381
11292,11540,"Denver, CO","El Paso, TX",563,6200,382,R382
11193,11292,"Cincinnati, OH","Denver, CO",1069,7024,383,R383
11292,11193,"Denver, CO","Cincinnati, OH",1069,7024,384,R384
11292,14869,"Denver, CO","Salt Lake City, UT",391,6910,385,R385
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,0A050,386,R386
10849,11292,"Bozeman, MT","Denver, CO",524,7041,387,R387
11292,10849,"Denver, CO","Bozeman, MT",524,7041,388,R388
11292,13487,"Denver, CO","Minneapolis, MN",680,7041,389,R389
11292,14730,"Denver, CO","Louisville, KY",1024,7041,390,R390
13367,11292,"Moline, IL","Denver, CO",752,7041,391,R391
14730,11292,"Louisville, KY","Denver, CO",1024,7041,392,R392
10140,11292,"Albuquerque, NM","Denver, CO",349,6700,393,R393
10279,11292,"Amarillo, TX","Denver, CO",359,6700,394,R394
10849,11292,"Bozeman, MT","Denver, CO",524,6700,395,R395
11292,10279,"Denver, CO","Amarillo, TX",359,6700,396,R396
11292,10849,"Denver, CO","Bozeman, MT",524,6700,397,R397
11292,11193,"Denver, CO","Cincinnati, OH",1069,6700,398,R398
11292,11267,"Denver, CO","Dayton, OH",1085,6700,399,R399
11292,11986,"Denver, CO","Grand Rapids, MI",1015,6700,400,R400
11292,12896,"Denver, CO","Lubbock, TX",456,6700,401,R401
11292,13502,"Denver, CO","Montrose/Delta, CO",196,6700,402,R402
11292,13891,"Denver, CO","Ontario, CA",819,6700,403,R403
11292,14107,"Denver, CO","Phoenix, AZ",602,6700,404,R404
11292,14262,"Denver, CO","Palm Springs, CA",776,6700,405,R405
11292,14489,"Denver, CO","Bend/Redmond, OR",898,6700,406,R406
11292,14683,"Denver, CO","San Antonio, TX",794,6700,407,R407
11292,15370,"Denver, CO","Tulsa, OK",541,6700,408,R408
11423,11292,"Des Moines, IA","Denver, CO",589,6700,409,R409
12892,11921,"Los Angeles, CA","Grand Junction, CO",655,6700,410,R410
